"year","genus","species","weight","plot_type"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",49,"Control"
1978,"Dipodomys","merriami",40,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",41,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",44,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",45,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",46,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",47,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",49,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",50,"Long-term Krat Exclosure"
1978,"Dipodomys","merriami",21,"Control"
1978,"Dipodomys","merriami",23,"Control"
1978,"Dipodomys","merriami",29,"Control"
1978,"Dipodomys","merriami",29,"Control"
1978,"Dipodomys","merriami",35,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",48,"Control"
1978,"Dipodomys","merriami",49,"Control"
1978,"Dipodomys","merriami",49,"Control"
1978,"Dipodomys","merriami",49,"Control"
1978,"Dipodomys","merriami",50,"Control"
1978,"Dipodomys","merriami",52,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",35,"Control"
1979,"Dipodomys","merriami",42,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",49,"Control"
1979,"Dipodomys","merriami",49,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",51,"Control"
1979,"Dipodomys","merriami",53,"Control"
1979,"Dipodomys","merriami",54,"Control"
1979,"Dipodomys","merriami",23,"Control"
1979,"Dipodomys","merriami",23,"Control"
1979,"Dipodomys","merriami",39,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",42,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",49,"Control"
1979,"Dipodomys","merriami",49,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",39,"Control"
1979,"Dipodomys","merriami",42,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",28,"Control"
1979,"Dipodomys","merriami",29,"Control"
1979,"Dipodomys","merriami",31,"Control"
1979,"Dipodomys","merriami",32,"Control"
1979,"Dipodomys","merriami",35,"Control"
1979,"Dipodomys","merriami",36,"Control"
1979,"Dipodomys","merriami",37,"Control"
1979,"Dipodomys","merriami",39,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",42,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",48,"Control"
1979,"Dipodomys","merriami",48,"Control"
1979,"Dipodomys","merriami",49,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",34,"Control"
1979,"Dipodomys","merriami",37,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",41,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",51,"Control"
1979,"Dipodomys","merriami",53,"Control"
1979,"Dipodomys","merriami",20,"Control"
1979,"Dipodomys","merriami",21,"Control"
1979,"Dipodomys","merriami",27,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",41,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",48,"Control"
1979,"Dipodomys","merriami",49,"Control"
1979,"Dipodomys","merriami",51,"Control"
1979,"Dipodomys","merriami",53,"Control"
1979,"Dipodomys","merriami",53,"Control"
1979,"Dipodomys","merriami",57,"Control"
1979,"Dipodomys","merriami",65,"Control"
1979,"Dipodomys","merriami",42,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",45,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",46,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",41,"Control"
1979,"Dipodomys","merriami",42,"Control"
1979,"Dipodomys","merriami",43,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",48,"Control"
1979,"Dipodomys","merriami",48,"Control"
1979,"Dipodomys","merriami",48,"Control"
1979,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",53,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",54,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1979,"Dipodomys","merriami",37,"Control"
1979,"Dipodomys","merriami",40,"Control"
1979,"Dipodomys","merriami",44,"Control"
1979,"Dipodomys","merriami",45,"Control"
1979,"Dipodomys","merriami",46,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",47,"Control"
1979,"Dipodomys","merriami",50,"Control"
1979,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",33,"Control"
1980,"Dipodomys","merriami",37,"Control"
1980,"Dipodomys","merriami",37,"Control"
1980,"Dipodomys","merriami",38,"Control"
1980,"Dipodomys","merriami",38,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",47,"Control"
1980,"Dipodomys","merriami",47,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",52,"Control"
1980,"Dipodomys","merriami",53,"Control"
1980,"Dipodomys","merriami",53,"Control"
1980,"Dipodomys","merriami",56,"Control"
1980,"Dipodomys","merriami",59,"Control"
1980,"Dipodomys","merriami",43,"Long-term Krat Exclosure"
1980,"Dipodomys","merriami",44,"Long-term Krat Exclosure"
1980,"Dipodomys","merriami",45,"Long-term Krat Exclosure"
1980,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1980,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1980,"Dipodomys","merriami",29,"Control"
1980,"Dipodomys","merriami",36,"Control"
1980,"Dipodomys","merriami",38,"Control"
1980,"Dipodomys","merriami",38,"Control"
1980,"Dipodomys","merriami",39,"Control"
1980,"Dipodomys","merriami",39,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",41,"Control"
1980,"Dipodomys","merriami",41,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",52,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",26,"Control"
1980,"Dipodomys","merriami",29,"Control"
1980,"Dipodomys","merriami",29,"Control"
1980,"Dipodomys","merriami",36,"Control"
1980,"Dipodomys","merriami",36,"Control"
1980,"Dipodomys","merriami",36,"Control"
1980,"Dipodomys","merriami",37,"Control"
1980,"Dipodomys","merriami",39,"Control"
1980,"Dipodomys","merriami",41,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",47,"Control"
1980,"Dipodomys","merriami",48,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",59,"Control"
1980,"Dipodomys","merriami",23,"Control"
1980,"Dipodomys","merriami",24,"Control"
1980,"Dipodomys","merriami",27,"Control"
1980,"Dipodomys","merriami",29,"Control"
1980,"Dipodomys","merriami",29,"Control"
1980,"Dipodomys","merriami",29,"Control"
1980,"Dipodomys","merriami",31,"Control"
1980,"Dipodomys","merriami",31,"Control"
1980,"Dipodomys","merriami",32,"Control"
1980,"Dipodomys","merriami",35,"Control"
1980,"Dipodomys","merriami",38,"Control"
1980,"Dipodomys","merriami",39,"Control"
1980,"Dipodomys","merriami",39,"Control"
1980,"Dipodomys","merriami",39,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",40,"Control"
1980,"Dipodomys","merriami",41,"Control"
1980,"Dipodomys","merriami",41,"Control"
1980,"Dipodomys","merriami",42,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",43,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",44,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",45,"Control"
1980,"Dipodomys","merriami",46,"Control"
1980,"Dipodomys","merriami",47,"Control"
1980,"Dipodomys","merriami",47,"Control"
1980,"Dipodomys","merriami",49,"Control"
1980,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",50,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",51,"Control"
1980,"Dipodomys","merriami",52,"Control"
