"year","species_id","COUNT(*)","ROUND(SUM(weight/1000.),3)"
1993,"DX",3,
1993,"NL",24,2.93
1993,"OL",35,0.909
1993,"OT",22,0.492
1993,"OX",1,
1993,"PC",1,
1993,"PE",13,0.25
1993,"PF",70,0.552
1993,"PP",100,1.562
1993,"RM",103,1.064
1993,"SF",3,0.132
1993,"SO",6,0.278
1993,"SS",1,
1993,"ST",1,
1994,"AB",7,
1994,"AH",19,
1994,"CB",1,
1994,"DM",293,12.373
1994,"DO",25,1.146
1994,"DS",9,0.853
1994,"DX",2,
1994,"NL",10,1.495
1994,"OL",21,0.438
1994,"OT",21,0.531
1994,"PC",1,
1994,"PE",3,0.054
1994,"PF",73,0.542
1994,"PP",74,1.231
1994,"PU",2,
1994,"RM",40,0.427
1994,"SO",3,0.187
1994,"SS",7,
1994,"SU",1,
1994,"UL",2,
1994,"UR",1,
1995,"AB",4,
1995,"AH",36,
1995,"CB",2,
1995,"DM",436,18.953
1995,"DO",58,2.678
1995,"DX",3,
1995,"NL",8,0.935
1995,"OL",29,0.737
1995,"OT",38,0.945
1995,"PB",7,0.238
1995,"PC",1,
1995,"PE",14,0.276
1995,"PF",158,1.361
1995,"PH",3,0.106
1995,"PI",1,
1995,"PL",3,0.067
1995,"PM",8,0.219
1995,"PP",277,4.548
1995,"PU",1,
1995,"RM",81,0.987
1995,"RX",1,0.02
1995,"SS",7,
1995,"SU",4,
1996,"AH",25,
1996,"DM",492,21.63
1996,"DO",174,7.841
1996,"DX",1,
1996,"NL",7,1.036
1996,"OL",13,0.361
1996,"OT",108,2.533
1996,"PB",39,1.238
1996,"PC",1,
1996,"PE",36,0.793
1996,"PF",330,2.728
1996,"PL",6,0.127
1996,"PM",50,0.991
1996,"PP",298,5.302
1996,"PX",2,
1996,"RM",90,1.031
1996,"SA",1,
1996,"SS",16,
1997,"AH",37,
1997,"CB",3,
1997,"DM",576,25.618
1997,"DO",253,12.189
1997,"DS",6,0.666
1997,"NL",48,6.781
1997,"OL",8,0.269
1997,"OT",258,6.345
1997,"PB",259,7.989
1997,"PE",57,1.193
1997,"PF",186,1.563
1997,"PH",1,0.022
1997,"PL",19,0.357
1997,"PM",271,5.683
1997,"PP",325,5.816
1997,"PX",2,0.038
1997,"RF",1,0.02
1997,"RM",158,1.752
1997,"RX",1,0.011
1997,"SA",1,
1997,"SH",7,0.356
1997,"SO",3,0.164
1997,"SS",12,
1998,"AB",2,
1998,"AH",33,
1998,"CB",4,
1998,"CT",1,
1998,"DM",503,19.366
1998,"DO",111,4.625
1998,"DS",9,0.812
1998,"DX",2,
1998,"NL",32,4.784
1998,"OT",164,3.652
1998,"PB",329,9.145
1998,"PC",1,
1998,"PE",24,0.467
1998,"PF",26,0.218
1998,"PL",7,0.117
1998,"PM",103,1.915
1998,"PP",208,3.351
1998,"PX",1,
1998,"RM",13,0.131
1998,"SA",2,
1998,"SS",15,
1999,"AH",14,
1999,"DM",348,15.293
1999,"DO",84,3.985
1999,"DS",7,0.845
1999,"DX",3,
1999,"NL",20,3.644
1999,"OT",105,2.701
1999,"PB",272,8.53
1999,"PE",7,0.178
1999,"PM",44,0.946
1999,"PP",167,2.726
1999,"RM",28,0.285
1999,"SH",2,0.108
1999,"SS",7,
2000,"AB",3,
2000,"AH",12,
2000,"DM",233,9.876
2000,"DO",91,4.381
2000,"DX",4,
2000,"NL",29,4.662
2000,"OT",154,3.669
2000,"PB",555,16.829
2000,"PE",15,0.281
2000,"PG",1,
2000,"PL",1,0.021
2000,"PM",2,0.041
2000,"PP",381,6.195
2000,"PX",1,
2000,"RM",15,0.171
2000,"SH",8,0.587
2000,"SS",4,
2001,"AB",1,
2001,"AH",23,
2001,"CB",3,
2001,"DM",305,13.36
2001,"DO",81,4.022
2001,"DX",1,
2001,"NL",48,7.889
2001,"OT",167,3.651
2001,"PB",538,17.121
2001,"PE",35,0.714
2001,"PF",27,0.222
2001,"PI",2,0.036
2001,"PM",3,0.08
2001,"PP",273,4.598
2001,"RM",15,0.17
2001,"SH",11,0.799
2001,"SS",5,
2001,"UR",2,
2002,"AB",2,
2002,"AH",28,
2002,"DM",309,13.989
2002,"DO",249,12.032
2002,"DX",1,
2002,"NL",48,8.015
2002,"OL",8,0.178
2002,"OT",127,2.86
2002,"PB",892,28.088
2002,"PE",60,1.238
2002,"PF",18,0.133
2002,"PI",5,0.1
2002,"PM",1,0.019
2002,"PP",385,6.399
2002,"RM",20,0.2
2002,"RO",7,0.071
2002,"SF",7,0.373
2002,"SH",11,0.582
2002,"SS",9,
2002,"UR",1,
2002,"US",4,
