"month","day","year","genus","species"
8,21,1977,"Dipodomys","spectabilis"
8,21,1977,"Dipodomys","spectabilis"
8,21,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","spectabilis"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Chaetodipus","penicillatus"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","spectabilis"
9,11,1977,"Onychomys","sp."
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Neotoma","albigula"
9,11,1977,"Perognathus","flavus"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","spectabilis"
9,11,1977,"Onychomys","sp."
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","spectabilis"
9,11,1977,"Dipodomys","merriami"
9,11,1977,"Dipodomys","spectabilis"
9,11,1977,"Onychomys","sp."
9,11,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Peromyscus","eremicus"
9,12,1977,"Neotoma","albigula"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Perognathus","flavus"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Dipodomys","spectabilis"
9,12,1977,"Perognathus","flavus"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Neotoma","albigula"
9,12,1977,"Dipodomys","merriami"
9,12,1977,"Perognathus","flavus"
9,13,1977,"Chaetodipus","penicillatus"
9,13,1977,"Perognathus","flavus"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Neotoma","albigula"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","merriami"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Peromyscus","eremicus"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Dipodomys","spectabilis"
9,13,1977,"Onychomys","sp."
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Onychomys","torridus"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Peromyscus","eremicus"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Neotoma","albigula"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Neotoma","albigula"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Onychomys","leucogaster"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Onychomys","leucogaster"
10,16,1977,"Dipodomys","spectabilis"
10,16,1977,"Peromyscus","eremicus"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Neotoma","albigula"
10,16,1977,"Neotoma","albigula"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","merriami"
10,16,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","ordii"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","ordii"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Onychomys","torridus"
10,17,1977,"Neotoma","albigula"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Onychomys","torridus"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Reithrodontomys","megalotis"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Neotoma","albigula"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","ordii"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Dipodomys","merriami"
10,17,1977,"Onychomys","leucogaster"
10,17,1977,"Dipodomys","spectabilis"
10,17,1977,"Dipodomys","ordii"
10,18,1977,"Dipodomys","spectabilis"
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Dipodomys","spectabilis"
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Dipodomys","spectabilis"
10,18,1977,"Perognathus","flavus"
10,18,1977,"Onychomys","sp."
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Dipodomys","spectabilis"
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Dipodomys","ordii"
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Dipodomys","spectabilis"
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Dipodomys","spectabilis"
10,18,1977,"Dipodomys","merriami"
10,18,1977,"Perognathus","flavus"
10,18,1977,"Neotoma","albigula"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Neotoma","albigula"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Onychomys","leucogaster"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Neotoma","albigula"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Onychomys","torridus"
11,12,1977,"Dipodomys","ordii"
11,12,1977,"Dipodomys","spectabilis"
11,12,1977,"Perognathus","flavus"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","spectabilis"
11,12,1977,"Neotoma","albigula"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Onychomys","leucogaster"
11,12,1977,"Dipodomys","spectabilis"
11,12,1977,"Perognathus","flavus"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Dipodomys","merriami"
11,12,1977,"Perognathus","flavus"
11,12,1977,"Perognathus","flavus"
11,12,1977,"Dipodomys","spectabilis"
11,12,1977,"Dipodomys","ordii"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Onychomys","leucogaster"
11,13,1977,"Onychomys","leucogaster"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Neotoma","albigula"
11,13,1977,"Perognathus","flavus"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Neotoma","albigula"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Reithrodontomys","megalotis"
11,13,1977,"Dipodomys","spectabilis"
11,13,1977,"Dipodomys","merriami"
11,13,1977,"Onychomys","leucogaster"
11,14,1977,"Dipodomys","merriami"
11,14,1977,"Dipodomys","spectabilis"
11,14,1977,"Neotoma","albigula"
11,14,1977,"Dipodomys","spectabilis"
11,14,1977,"Perognathus","flavus"
11,14,1977,"Dipodomys","merriami"
11,14,1977,"Dipodomys","spectabilis"
11,14,1977,"Dipodomys","merriami"
11,14,1977,"Dipodomys","spectabilis"
11,14,1977,"Dipodomys","spectabilis"
11,14,1977,"Dipodomys","ordii"
11,14,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","spectabilis"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","ordii"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Perognathus","flavus"
12,10,1977,"Onychomys","torridus"
12,10,1977,"Perognathus","flavus"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Perognathus","flavus"
12,10,1977,"Neotoma","albigula"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Perognathus","flavus"
12,10,1977,"Onychomys","leucogaster"
12,10,1977,"Onychomys","torridus"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Onychomys","leucogaster"
12,10,1977,"Onychomys","torridus"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","spectabilis"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","ordii"
12,10,1977,"Dipodomys","spectabilis"
12,10,1977,"Onychomys","torridus"
12,10,1977,"Dipodomys","merriami"
12,10,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Neotoma","albigula"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","ordii"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Neotoma","albigula"
12,11,1977,"Perognathus","flavus"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Perognathus","flavus"
12,11,1977,"Neotoma","albigula"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Neotoma","albigula"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Neotoma","albigula"
12,11,1977,"Dipodomys","merriami"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Perognathus","flavus"
12,11,1977,"Dipodomys","spectabilis"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Onychomys","torridus"
12,11,1977,"Dipodomys","merriami"
1,8,1978,"Onychomys","leucogaster"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Neotoma","albigula"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Neotoma","albigula"
1,8,1978,"Perognathus","flavus"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","spectabilis"
1,8,1978,"Onychomys","leucogaster"
1,8,1978,"Perognathus","flavus"
1,8,1978,"Dipodomys","ordii"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Peromyscus","eremicus"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Perognathus","flavus"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","spectabilis"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","spectabilis"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Neotoma","albigula"
1,8,1978,"Perognathus","flavus"
1,8,1978,"Dipodomys","merriami"
1,8,1978,"Onychomys","torridus"
1,9,1978,"Onychomys","torridus"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Onychomys","leucogaster"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Neotoma","albigula"
1,9,1978,"Onychomys","torridus"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Neotoma","albigula"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","merriami"
1,9,1978,"Dipodomys","spectabilis"
1,9,1978,"Dipodomys","spectabilis"
1,10,1978,"Dipodomys","spectabilis"
1,10,1978,"Neotoma","albigula"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Onychomys","torridus"
1,10,1978,"Dipodomys","spectabilis"
1,10,1978,"Onychomys","torridus"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","spectabilis"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Onychomys","torridus"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","merriami"
1,10,1978,"Dipodomys","merriami"
2,18,1978,"Onychomys","torridus"
2,18,1978,"Dipodomys","spectabilis"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Onychomys","sp."
2,18,1978,"Neotoma","albigula"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Perognathus","flavus"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","spectabilis"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Onychomys","torridus"
2,18,1978,"Onychomys","torridus"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Dipodomys","merriami"
2,18,1978,"Onychomys","torridus"
2,18,1978,"Peromyscus","eremicus"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Onychomys","torridus"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Perognathus","flavus"
2,19,1978,"Dipodomys","spectabilis"
2,19,1978,"Onychomys","torridus"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Onychomys","leucogaster"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Dipodomys","merriami"
2,19,1978,"Neotoma","albigula"
2,19,1978,"Onychomys","torridus"
2,19,1978,"Onychomys","torridus"
2,19,1978,"Dipodomys","spectabilis"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","spectabilis"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Neotoma","albigula"
2,20,1978,"Dipodomys","spectabilis"
2,20,1978,"Dipodomys","merriami"
2,20,1978,"Dipodomys","merriami"
3,11,1978,"Perognathus","flavus"
3,11,1978,"Dipodomys","merriami"
3,11,1978,"Perognathus","flavus"
3,11,1978,"Dipodomys","spectabilis"
3,11,1978,"Dipodomys","merriami"
3,11,1978,"Neotoma","albigula"
3,11,1978,"Dipodomys","spectabilis"
3,11,1978,"Dipodomys","spectabilis"
3,11,1978,"Onychomys","torridus"
3,11,1978,"Onychomys","torridus"
3,11,1978,"Dipodomys","merriami"
3,11,1978,"Neotoma","albigula"
3,11,1978,"Perognathus","flavus"
3,11,1978,"Onychomys","torridus"
3,11,1978,"Dipodomys","merriami"
3,11,1978,"Dipodomys","merriami"
3,11,1978,"Onychomys","leucogaster"
3,11,1978,"Dipodomys","merriami"
3,11,1978,"Onychomys","torridus"
3,11,1978,"Dipodomys","spectabilis"
3,11,1978,"Onychomys","torridus"
3,11,1978,"Peromyscus","eremicus"
3,11,1978,"Perognathus","flavus"
3,11,1978,"Peromyscus","eremicus"
3,11,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Onychomys","torridus"
3,12,1978,"Perognathus","flavus"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Perognathus","flavus"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Onychomys","torridus"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Reithrodontomys","megalotis"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Onychomys","leucogaster"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Dipodomys","spectabilis"
3,12,1978,"Onychomys","torridus"
3,12,1978,"Dipodomys","merriami"
3,12,1978,"Onychomys","torridus"
3,13,1978,"Dipodomys","spectabilis"
3,13,1978,"Dipodomys","merriami"
3,13,1978,"Dipodomys","merriami"
3,13,1978,"Onychomys","torridus"
3,13,1978,"Dipodomys","merriami"
3,13,1978,"Dipodomys","merriami"
3,13,1978,"Dipodomys","merriami"
3,13,1978,"Dipodomys","merriami"
3,13,1978,"Dipodomys","ordii"
